month	price
2025-01	4.5012
2025-02	4.1258
2025-03	3.6994
2025-04	3.7449600000000003
2025-05	3.4684
2025-06	3.2154
2025-07	3.1784
2025-08	3.4612000000000003
2025-09	3.6138
2025-10	3.8844000000000003
2025-11	4.4024
2025-12	4.8022599999999995
