month	price
2024-01	4.36275
2024-02	4.0912500000000005
2024-03	3.6887499999999998
2024-04	3.7872000000000003
2024-05	3.52625
2024-06	3.275
2024-07	3.194
2024-08	3.48975
2024-09	3.58175
2024-10	3.926
2024-11	4.398
2024-12	4.788575
